Producto,Precio,Supermercado,Categoria,IMG,Pagina
CHOCOLATINA JET WAFER 10U 22G VAINILLA,$7.190,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_chocolatina_jet_wafer_10u_22gr_vainilla_dulceria_700x700.jpg?v=1620489117,https://lavaquita.co/collections/bebidas-y-snacks/products/chocolatina_jet_wafer_10u_22g_vainilla
GASEOSA COCA COLA 3LT+QUATRO 3LT P.E,$12.550,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_gaseosa_cocacola_quatro_3litos_700x700.jpg?v=1632517669,https://lavaquita.co/collections/bebidas-y-snacks/products/gaseosa_coca_cola_3lt-quatro_3lt_p-e
AGUA H2O 1.5L LIMONATA,$3.250,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_agua_h2o_1.5l_limonata_bebidas_liquidas_700x700.jpg?v=1620488177,https://lavaquita.co/collections/bebidas-y-snacks/products/agua_h2o_1-5l_limonata
GASEOSA COCA COLA 2U 1.5L ORIGINAL,$9.650,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_gaseosa_coca_cola_2u_1.5l_original_gaseosas_1_700x700.jpg?v=1626463984,https://lavaquita.co/collections/bebidas-y-snacks/products/gaseosa-coca-cola-2u-1-5l-original
GALLETA DUX 9U BOLSA,$4.550,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_galleta_dux_9u_bolsa_galletas_700x700.jpg?v=1622048527,https://lavaquita.co/collections/bebidas-y-snacks/products/galleta_dux_9u_bolsa
REFRESCO FRUTINO LIMONADA 18G,$580,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_refresco_frutino_2l_limonada_bebidas_en_polvo_700x700.jpg?v=1620489719,https://lavaquita.co/collections/bebidas-y-snacks/products/refresco_frutino_2l_limonada
NUCITA CREMA 6U CALCIO 84g,$3.550,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_nucita_crema_6u_calcio_dulceria_700x700.jpg?v=1620489184,https://lavaquita.co/collections/bebidas-y-snacks/products/nucita_crema_6u_calcio
BOCADILLO ROLLO 280G GUAY/AREQUIPE FRUTI,$6.650,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_bocadillo_rollo_280gr_guay_arequipe_fruti_dulceria_700x700.jpg?v=1622048468,https://lavaquita.co/collections/bebidas-y-snacks/products/bocadillo_rollo_280g_guay-arequipe_fruti
GALLETA GLACITAS 6U TOFFE,$4.850,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_colombina_galleta_victoria_glacitas_toffee_700x700.jpg?v=1630005435,https://lavaquita.co/collections/bebidas-y-snacks/products/galleta_glacitas_6u_toffe
ROSQUILLAS 12U ABURRA,$9.990,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_rosquillas_12u_aburra_pasabocas_700x700.jpg?v=1620489533,https://lavaquita.co/collections/bebidas-y-snacks/products/rosquillas_12u_aburra
REFRESCO TAMPICO 6U 250ML CITRUS,$3.890,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_refresco_tampico_1500c_6u_250c_citrus_bebidas_liquidas_700x700.jpg?v=1620489447,https://lavaquita.co/collections/bebidas-y-snacks/products/refresco_tampico_1500c_6u_250c_citrus
AGUA H2O 250ML LIMA LIMON,$1.150,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_agua_h2o_250ml_lima_limon_bebidas_liquidas_700x700.jpg?v=1620488165,https://lavaquita.co/collections/bebidas-y-snacks/products/agua_h2o_250ml_lima_limon
REFRESCO LIGHTYA 10G LIMON,$1.050,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_lightya_10g_limon_bebidas_en_polvo_700x700.jpg?v=1620489731,https://lavaquita.co/collections/bebidas-y-snacks/products/refresco_lightya_10g_limon
GALLETA COCOSETTE 400G MAXI WAFER,$10.490,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_galleta_cocosette_400gr_maxi_wafer_galletas_700x700.jpg?v=1620489259,https://lavaquita.co/collections/bebidas-y-snacks/products/galleta_cocosette_400g_maxi_wafer
GALLETA SALTINAS 5TACOS MANTEQUILLA,$6.950,La vaquita,Despensa,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_galleta_saltinas_5tacos_mantequilla_galletas_700x700.jpg?v=1620489283,https://lavaquita.co/collections/bebidas-y-snacks/products/galleta_saltinas_5tacos_mantequilla
